covered_entity_name,state,covered_entity_type,individuals_affected,breach_submission_date,type_of_breach,location_of_breached_information,javax.faces.component.UIPanel@48c348d2,web_description,ingestion_time,source_file_path
University of Michigan/Michigan Medicine,MI,Healthcare Provider,551,2026-05-01,Unauthorized Access/Disclosure,Electronic Medical Record,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
Mt. Spokane Pediatrics,WA,Healthcare Provider,32021,2026-04-30,Hacking/IT Incident,Network Server,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
"Ouster, Inc.",CA,Health Plan,574,2026-04-30,Unauthorized Access/Disclosure,Network Server,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
Northwoods Surgery Center,MN,Healthcare Provider,5385,2026-04-29,Hacking/IT Incident,Network Server,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
Tri-Cities Gastroenterology,TN,Healthcare Provider,67115,2026-04-29,Hacking/IT Incident,Network Server,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
Belmont Aesthetic and Reconstructive Plastic Surgery,VA,Healthcare Provider,528,2026-04-23,Hacking/IT Incident,Network Server,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
Interim HealthCare of Lubbock,TX,Healthcare Provider,2071,2026-04-23,Hacking/IT Incident,Network Server,Yes,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
Interim HealthCare of Amarillo,TX,Healthcare Provider,666,2026-04-23,Hacking/IT Incident,Network Server,Yes,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
Liberty Bankers Life Ins. Co.,TX,Health Plan,20202,2026-04-22,Hacking/IT Incident,Network Server,Yes,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
"Spokane Digestive Disease Center, P.S. ",WA,Healthcare Provider,501,2026-04-20,Hacking/IT Incident,Email,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
Prime Care 12 Priority Health,WV,Healthcare Provider,1000,2026-04-20,Hacking/IT Incident,Network Server,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
L.A. Care Health Plan,CA,Health Plan,2885,2026-04-17,Unauthorized Access/Disclosure,Paper/Films,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
"Innovative Scientific Solutions, LLC",SC,Healthcare Provider,143842,2026-04-17,Hacking/IT Incident,Network Server,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
Lennox International Inc.,TX,Health Plan,3709,2026-04-17,Hacking/IT Incident,Network Server,Yes,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
Iowa Department of Health and Human Services,IA,Health Plan,6717,2026-04-16,Unauthorized Access/Disclosure,Network Server,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
Washington VA Medical Center,DC,Healthcare Provider,1467,2026-04-16,Unauthorized Access/Disclosure,Paper/Films,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
"Mazzola Mardon, P.C.",NY,Business Associate,2123,2026-04-15,Hacking/IT Incident,Network Server,Yes,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
"City Health, a medical corporation",CA,Healthcare Provider,65000,2026-04-14,Unauthorized Access/Disclosure,Electronic Medical Record,No,null,2026-05-16T14:51:49.733Z,dbfs:/Volumes/workspace/default/healthcare_cyber_raw/hhs_breach_report.csv
