covered_entity_name,individuals_affected,type_of_breach,location_of_breached_information,breach_year,risk_level
University of Michigan/Michigan Medicine,551,Unauthorized Access/Disclosure,Electronic Medical Record,2026,Medium
Mt. Spokane Pediatrics,32021,Hacking/IT Incident,Network Server,2026,High
"Ouster, Inc.",574,Unauthorized Access/Disclosure,Network Server,2026,Medium
Northwoods Surgery Center,5385,Hacking/IT Incident,Network Server,2026,High
Tri-Cities Gastroenterology,67115,Hacking/IT Incident,Network Server,2026,High
Belmont Aesthetic and Reconstructive Plastic Surgery,528,Hacking/IT Incident,Network Server,2026,High
Interim HealthCare of Lubbock,2071,Hacking/IT Incident,Network Server,2026,High
Interim HealthCare of Amarillo,666,Hacking/IT Incident,Network Server,2026,High
Liberty Bankers Life Ins. Co.,20202,Hacking/IT Incident,Network Server,2026,High
"Spokane Digestive Disease Center, P.S.",501,Hacking/IT Incident,Email,2026,High
Prime Care 12 Priority Health,1000,Hacking/IT Incident,Network Server,2026,High
L.A. Care Health Plan,2885,Unauthorized Access/Disclosure,Paper/Films,2026,Medium
"Innovative Scientific Solutions, LLC",143842,Hacking/IT Incident,Network Server,2026,High
Lennox International Inc.,3709,Hacking/IT Incident,Network Server,2026,High
Iowa Department of Health and Human Services,6717,Unauthorized Access/Disclosure,Network Server,2026,Medium
Washington VA Medical Center,1467,Unauthorized Access/Disclosure,Paper/Films,2026,Medium
"Mazzola Mardon, P.C.",2123,Hacking/IT Incident,Network Server,2026,High
"City Health, a medical corporation",65000,Unauthorized Access/Disclosure,Electronic Medical Record,2026,Medium
Defense Health Agency,1300,Unauthorized Access/Disclosure,Email,2026,Medium
"Instabase, Inc.",908,Hacking/IT Incident,Network Server,2026,High
"Branch Metrics, Inc.",857,Hacking/IT Incident,Network Server,2026,High
Springfield Hospital,5892,Hacking/IT Incident,Email,2026,High
CARE Clinic,500,Hacking/IT Incident,Email,2026,High
"CardioFit Medical Group, Inc.",7243,Unauthorized Access/Disclosure,Email,2026,Medium
Virginia Department of Behavioral Health and Developmental Services,724,Unauthorized Access/Disclosure,Email,2026,Medium
Heart South Cardiovascular Group,46666,Hacking/IT Incident,Network Server,2026,High
Hospital Caribbean Medical Center,92000,Hacking/IT Incident,Network Server,2026,High
"Option Care Health, Inc.",1891,Hacking/IT Incident,Email,2026,High
"Rocky Mountain Associated Physicians, P.C.",50640,Hacking/IT Incident,Network Server,2026,High
"Village Heart Seller, PC d/b/a Village Heart & Vein Center",687,Hacking/IT Incident,Email,2026,High
Southern Illinois Dermatology,160312,Hacking/IT Incident,Network Server,2026,High
"Interventional Pain Center, PLLC",3171,Hacking/IT Incident,Email,2026,High
Waterford Surgical Center,9000,Hacking/IT Incident,Network Server,2026,High
Austin Plastic and Reconstructive Surgery,4266,Hacking/IT Incident,Network Server,2026,High
Healthcare In Action,1143,Hacking/IT Incident,"Email, Network Server, Other",2026,High
Woodfords Family Services,38061,Hacking/IT Incident,"Desktop Computer, Electronic Medical Record, Email, Network Server",2026,High
CORPORACION DE SERVICIOS MEDICOS PRIMARIOS Y PREVENCION DE HATILLO,24236,Hacking/IT Incident,Network Server,2026,High
Amedisys,9111,Hacking/IT Incident,Network Server,2026,High
LHC Group,8644,Hacking/IT Incident,Network Server,2026,High
Securian Financial,500,Hacking/IT Incident,Network Server,2026,High
Fenwick & West Group Health Plan,1740,Hacking/IT Incident,Network Server,2026,High
"Coastal Carolina Health Care, PA",110304,Hacking/IT Incident,Network Server,2026,High
"VirtuOx, LLC",621,Hacking/IT Incident,"Network Server, Other",2026,High
Continental Casualty Company (CNA),6086,Hacking/IT Incident,Network Server,2026,High
Deaconess Health System,8941,Hacking/IT Incident,Network Server,2026,High
"BeyondFaith Homecare & Rehab, LLC",708,Hacking/IT Incident,"Electronic Medical Record, Network Server",2026,High
Complete Eye Care dba Orem Eye Clinic,5800,Hacking/IT Incident,"Network Server, Other",2026,High
The South Alabama Regional Planning Commission,3043,Hacking/IT Incident,Network Server,2026,High
"OpenLoop Health, Inc.",716000,Hacking/IT Incident,Network Server,2026,High
Amyris Incorporated Health and Welfare Plan,2042,Hacking/IT Incident,Network Server,2026,High
Coastal Skin Surgery & Dermatology,6173,Hacking/IT Incident,Network Server,2026,High
Good Samaritan Health Center,10000,Hacking/IT Incident,Network Server,2026,High
"Walpole Area Visiting Nurse Association, Inc.",566,Hacking/IT Incident,Network Server,2026,High
Renovo Chiropractic & Wellness,538,Theft,"Other, Paper/Films",2026,Low
UPMC,687,Unauthorized Access/Disclosure,Other,2026,Medium
Wonderland Child & Family Services,1283,Unauthorized Access/Disclosure,Laptop,2026,Medium
Trinity Health,2740,Unauthorized Access/Disclosure,Electronic Medical Record,2026,Medium
Ideal Home Care,1331,Hacking/IT Incident,Network Server,2026,High
A Path of Care Home Health and Hospice,3849,Hacking/IT Incident,Network Server,2026,High
"Bloom Circle, Inc. d/b/a Lena Health",3651,Hacking/IT Incident,Network Server,2026,High
MedPeds Associates of Sarasota,22017,Hacking/IT Incident,Network Server,2026,High
Central Ohio Urology Group,4234,Hacking/IT Incident,Network Server,2026,High
Team Select,949,Hacking/IT Incident,"Network Server, Other",2026,High
SSM Health,597,Hacking/IT Incident,Network Server,2026,High
illumifin Corporation,5385,Hacking/IT Incident,Network Server,2026,High
NYC Health + Hospitals,5086,Hacking/IT Incident,Network Server,2026,High
Delta Medical Systems,1574,Hacking/IT Incident,Email,2026,High
Community Health Action of Staten Island,501,Hacking/IT Incident,Email,2026,High
Saint Anthony Hospital,146108,Hacking/IT Incident,Email,2026,High
Barrio Comprehensive Family Health Care Center,19971,Hacking/IT Incident,Email,2026,High
County of Murray dba Murray County Medical Center,5073,Hacking/IT Incident,Email,2026,High
North Texas Behavioral Health Authority,285086,Hacking/IT Incident,Network Server,2026,High
Exclusive Physicians PLLC,58000,Hacking/IT Incident,Network Server,2026,High
Cedar Valley Hospice,10666,Hacking/IT Incident,Network Server,2026,High
Tieu Dental Corporation,8918,Hacking/IT Incident,Network Server,2026,High
Longevity Health Plan,15000,Hacking/IT Incident,Network Server,2026,High
Kin Counseling Services PLLC,500,Hacking/IT Incident,Email,2026,High
Greater Boston Urology,4717,Hacking/IT Incident,Email,2026,High
Insurance ACE/Humana Inc.,1000,Hacking/IT Incident,Network Server,2026,High
"Lakeside Pediatrics & Adolescent Medicine, PLLC",34154,Hacking/IT Incident,Network Server,2026,High
"IPPC Inc., IPPC of New York LLC, and Innovative Pharmacy LLC (collectively “IPPC”)",133862,Hacking/IT Incident,Network Server,2026,High
Orthopaedic Institute of Western Kentucky,11474,Hacking/IT Incident,Network Server,2026,High
Jackson Hospital and Clinic,13910,Hacking/IT Incident,Network Server,2026,High
"Nephrology Associates Medical Group, Inc",4631,Hacking/IT Incident,Email,2026,High
Aetna,775,Unauthorized Access/Disclosure,Paper/Films,2026,Medium
Aetna,10888,Unauthorized Access/Disclosure,Paper/Films,2026,Medium
Manhattan Retirement Foundation d/b/a Meadowlark Hills,14442,Hacking/IT Incident,Network Server,2026,High
"BMG of Kansas, Inc.",1327,Hacking/IT Incident,Network Server,2026,High
AltaMed Health Services Corporation,501,Hacking/IT Incident,Network Server,2026,High
"Couve Healthcare Consulting, LLC DBA Evergreen Healthcare Group",11795,Hacking/IT Incident,Electronic Medical Record,2026,High
Weill Cornell Medicine,516,Unauthorized Access/Disclosure,Electronic Medical Record,2026,Medium
"QualDerm Partners, LLC",3117874,Hacking/IT Incident,Network Server,2026,High
"Option Care Health, Inc.",2086,Hacking/IT Incident,Email,2026,High
The Center for Advanced Eye Care,9300,Hacking/IT Incident,"Network Server, Other",2026,High
VNS Behavioral Health Inc. (“VNS Health”),739,Hacking/IT Incident,Email,2026,High
Builders FirstSource Flex Plan,1514,Hacking/IT Incident,Network Server,2026,High
Emanuel Medical Center,28963,Hacking/IT Incident,Network Server,2026,High
Easterseals Northeast Indiana,3158,Hacking/IT Incident,Network Server,2026,High
44North,2158,Hacking/IT Incident,Desktop Computer,2026,High
"Wee Care Pediatrics, LLC",2127,Hacking/IT Incident,Network Server,2026,High
National Association on Drug Abuse Problems,90000,Hacking/IT Incident,Network Server,2026,High
VPS Medical PLLC,4600,Hacking/IT Incident,Network Server,2026,High
Academic Urology & Urogynecology of Arizona,73281,Hacking/IT Incident,Network Server,2026,High
Cedar Valley Services,501,Hacking/IT Incident,Network Server,2026,High
Resource Corporation of America,501,Hacking/IT Incident,Network Server,2026,High
"Alexes Hazen MD, PLLC",500,Hacking/IT Incident,"Email, Network Server",2026,High
"Cedar Point Health, LLC",23114,Hacking/IT Incident,Network Server,2026,High
"ApolloMD Business Services, LLC",626540,Hacking/IT Incident,Network Server,2026,High
Counseling Center of Wayne & Holmes Counties,83354,Hacking/IT Incident,Network Server,2026,High
Wendy Foster OD,20000,Hacking/IT Incident,Network Server,2026,High
Carolina Foot & Ankle Associates,501,Hacking/IT Incident,Network Server,2026,High
Marin Cancer Care,501,Hacking/IT Incident,Network Server,2026,High
TriZetto Provider Solutions,3433965,Hacking/IT Incident,Network Server,2026,High
"Apex Spine & Neurosurgery, LLC",2500,Hacking/IT Incident,Network Server,2026,High
Triad Radiology Associates,11011,Hacking/IT Incident,Email,2026,High
Cottage Hospital,1005,Hacking/IT Incident,Network Server,2026,High
WIRX Pharmacy,20047,Hacking/IT Incident,Network Server,2026,High
"Personalis, Inc.",650,Hacking/IT Incident,Email,2026,High
Issaqueena Pediatric Dentistry PA,501,Hacking/IT Incident,Network Server,2026,High
Fair Oaks Ortho P.C.,1544,Hacking/IT Incident,Email,2026,High
"High Point Treatment Center, Inc.",25832,Hacking/IT Incident,"Electronic Medical Record, Network Server",2026,High
"BAYADA Home Health Care, Inc.",9526,Hacking/IT Incident,Network Server,2026,High
Health and Hospital Corporation of Marion County,792,Unauthorized Access/Disclosure,"Email, Laptop",2026,Medium
Clinic Service Corporation,82331,Hacking/IT Incident,Network Server,2026,High
"CashFlow Solutions, LLC",1007,Unauthorized Access/Disclosure,Email,2026,Medium
"Wound Technology Network, Inc.",139830,Hacking/IT Incident,Network Server,2026,High
WindRose Health Network,691,Hacking/IT Incident,Network Server,2026,High
"Central States Dermatology Services, LLC",4626,Hacking/IT Incident,Network Server,2026,High
"Pecan Tree Dental, PLLC",13300,Hacking/IT Incident,Network Server,2026,High
Jefferson-Blount-St. Clair Mental Health Authority,30434,Hacking/IT Incident,Network Server,2026,High
"Precipio, Inc.",501,Hacking/IT Incident,Network Server,2026,High
"True RCM, a Rapid Care Transcription, Inc., Company",1247,Hacking/IT Incident,Desktop Computer,2026,High
Middlesex Sheriff's Office,501,Hacking/IT Incident,Network Server,2026,High
AdventHealth Daytona Beach,821,Loss,Paper/Films,2026,Low
Benton County Health,1476,Hacking/IT Incident,Network Server,2026,High
Central Texas MHMR Center dba Center for Life Resource,501,Hacking/IT Incident,Network Server,2026,High
Minnesota Department of Human Services,303965,Unauthorized Access/Disclosure,Network Server,2026,High
Superior Care Plus LLC d/b/a Supportive Home Health LLC,1415,Hacking/IT Incident,Email,2026,High
Administrators of the Tulane Educational Fund d/b/a Tulane University Medical Group,6556,Hacking/IT Incident,Email,2026,High
360 Dental PC,11273,Hacking/IT Incident,Network Server,2026,High
"Southern Immediate Care, LLC",7447,Hacking/IT Incident,Email,2026,High
Florence County Commission on Alcohol & Drug Abuse – dba Circle Park Behavioral Health Services (“Circle Park”),7020,Hacking/IT Incident,Email,2026,High
"Pinnacle Holdings, LTD",18313,Hacking/IT Incident,Network Server,2026,High
"TMG Health, Inc.",2076,Unauthorized Access/Disclosure,Network Server,2026,Medium
"FullBeauty Brands, Inc. Associate Benefits Plan",4725,Hacking/IT Incident,Network Server,2026,High
Avosina Healthcare Solutions,44425,Hacking/IT Incident,Network Server,2026,High
"Home, Hope and Healing, Inc.",501,Hacking/IT Incident,Network Server,2026,High
"The Center for Neuropsychology and Learning, PC",3722,Hacking/IT Incident,Network Server,2026,High
Central Ozarks Medical Center,11818,Hacking/IT Incident,Network Server,2026,High
Devereux Foundation,501,Hacking/IT Incident,Network Server,2026,High
"ABKSW PREFERRED HEALTH PARTNERS, PLLC d/b/a NORTH TEXAS PREFERRED HEALTH PARTNERS",2074,Hacking/IT Incident,Network Server,2026,High
Methodist Homes of Alabama and Northwest Florida,1406,Hacking/IT Incident,Email,2026,High
Pit River Health Service Inc.,1800,Hacking/IT Incident,Network Server,2026,High
Iowa Health and Human Services,3340,Hacking/IT Incident,Network Server,2026,High
Texas Health and Human Services Commission,68066,Hacking/IT Incident,Network Server,2026,High
"Mid Michigan Medical Billing Service, Inc.",28185,Hacking/IT Incident,Network Server,2026,High
"Pines of Sarasota Healthcare, LLC",1258,Hacking/IT Incident,Email,2025,High
Advanced Healthcare Professionals,800,Hacking/IT Incident,Network Server,2025,High
"Standards Home Health, Inc.",6847,Hacking/IT Incident,Email,2025,High
Andover Eye Associates,1638,Hacking/IT Incident,Email,2025,High
"Steel Encounters, Inc.",959,Hacking/IT Incident,Network Server,2025,High
Advantage Capital Holdings LLC,26343,Hacking/IT Incident,Network Server,2025,High
"Associated Radiologists of the Finger Lakes, P.C.",501,Hacking/IT Incident,Network Server,2025,High
"Docs Medical Group, Inc. dba Pulse Urgent Care",4035,Hacking/IT Incident,Network Server,2025,High
CareOregon,5473,Unauthorized Access/Disclosure,Network Server,2025,Medium
"BlueCross BlueShield of Tennessee, Inc.",780,Unauthorized Access/Disclosure,Email,2025,Medium
Glendale Obstetrics & Gynecology PCA,501,Hacking/IT Incident,Network Server,2025,High
AllerVie Health,80521,Hacking/IT Incident,Network Server,2025,High
HAP (Health Alliance Plan),1059,Hacking/IT Incident,Email,2025,High
Reproductive Medicine Associates of Michigan,501,Hacking/IT Incident,Network Server,2025,High
"Anesthesiology & Pain Consultants, LLC",538,Unauthorized Access/Disclosure,Other Portable Electronic Device,2025,Medium
