state,total_breaches,total_individuals_affected,avg_individuals_affected
CA,64,13227075,206673.05
TX,57,4514432,79200.56
FL,53,3307578,62407.13
NY,45,2270579,50457.31
PA,31,1453930,46900.97
IL,30,3661599,122053.3
MA,23,548205,23835
MI,22,1114313,50650.59
WA,20,592246,29612.3
MN,20,193233648,9661682.4
OH,20,2147984,107399.2
GA,19,16484878,867625.16
AZ,17,722782,42516.59
TN,17,4242320,249548.24
NC,17,604713,35571.35
MO,17,9632528,566619.29
VA,15,1902654,126843.6
CO,15,5712378,380825.2
NJ,14,531475,37962.5
MD,13,3678081,282929.31
IN,13,514583,39583.31
WI,13,356531,27425.46
LA,13,2997137,230549
AL,12,608152,50679.33
UT,11,4420209,401837.18
NE,10,3392240,339224
OK,10,332030,33203
CT,10,1411151,141115.1
KS,9,211504,23500.44
KY,8,249343,31167.88
SC,8,222984,27873
IA,8,1005030,125628.75
OR,7,24054,3436.29
ID,6,652767,108794.5
ME,6,189247,31541.17
NV,6,1329917,221652.83
RI,5,235045,47009
MS,5,235968,47193.6
NM,5,106753,21350.6
AK,5,79898,15979.6
NH,5,76153,15230.6
AR,4,464658,116164.5
UNKNOWN,3,117806,39268.67
HI,3,32177,10725.67
DC,2,20416,10208
WV,2,5895,2947.5
DE,2,15003,7501.5
MT,1,21243,21243
SD,1,25398,25398
VT,1,5892,5892
