covered_entity_name,state,covered_entity_type,individuals_affected,breach_submission_date,type_of_breach,location_of_breached_information,risk_level
"Change Healthcare, Inc.",MN,Business Associate,192700000,2024-07-19,Hacking/IT Incident,Network Server,High
Aflac Incorporated (“Aflac”),GA,Health Plan,13924906,2025-08-08,Hacking/IT Incident,Network Server,High
"Episource, LLC",CA,Business Associate,6725572,2025-06-06,Hacking/IT Incident,Network Server,High
Ascension Health,MO,Healthcare Provider,5466931,2024-07-03,Hacking/IT Incident,Network Server,High
"HealthEquity, Inc.",UT,Business Associate,4300000,2024-08-09,Hacking/IT Incident,Network Server,High
TriZetto Provider Solutions,MO,Business Associate,3433965,2026-02-06,Hacking/IT Incident,Network Server,High
"QualDerm Partners, LLC",TN,Healthcare Provider,3117874,2026-02-22,Hacking/IT Incident,Network Server,High
"PIH Health, Inc.",CA,Healthcare Provider,2947264,2025-01-31,Hacking/IT Incident,Network Server,High
"Acadian Ambulance Service, Inc.",LA,Healthcare Provider,2896985,2024-08-20,Hacking/IT Incident,Network Server,High
A&A Services d/b/a Sav-Rx,NE,Business Associate,2812336,2024-05-24,Hacking/IT Incident,Network Server,High
DaVita Inc.,CO,Healthcare Provider,2689826,2025-08-01,Hacking/IT Incident,Network Server,High
Veradigm LLC,IL,Business Associate,2672036,2025-09-22,Hacking/IT Incident,Network Server,High
Anne Arundel Dermatology,MD,Healthcare Provider,1905000,2025-07-11,Hacking/IT Incident,Network Server,High
"Summit Pathology and Summit Pathology Laboratories, Inc.",CO,Healthcare Provider,1813538,2024-10-18,Hacking/IT Incident,Network Server,High
Kettering Adventist Healthcare,OH,Healthcare Provider,1695382,2025-07-21,Hacking/IT Incident,Network Server,High
Lubbock County Hospital District,TX,Healthcare Provider,1461776,2024-11-22,Hacking/IT Incident,Network Server,High
"Radiology Associates of Richmond, Inc.",VA,Healthcare Provider,1419091,2025-07-01,Hacking/IT Incident,Network Server,High
"Absolute Dental Group, LLC",NV,Business Associate,1223635,2025-05-02,Hacking/IT Incident,Network Server,High
Palomar Health Medical Group,CA,Healthcare Provider,1140221,2024-07-03,Hacking/IT Incident,Network Server,High
"Southeast Series of Lockton Companies, LLC (Lockton)",GA,Business Associate,1124727,2025-02-28,Hacking/IT Incident,Network Server,High
