breach_year,breach_month,total_breaches,total_individuals_affected
2023,10,1,10833
2023,11,2,2280
2023,12,1,10079
2024,2,2,30497
2024,3,2,217670
2024,4,3,1038178
2024,5,8,3368317
2024,6,8,577730
2024,7,14,199865606
2024,8,18,8855621
2024,9,7,223007
2024,10,17,3866682
2024,11,20,4092652
2024,12,17,508074
2025,1,27,5890170
2025,2,24,1933163
2025,3,32,1926928
2025,4,39,2630182
2025,5,40,1952650
2025,6,56,9142130
2025,7,40,6071928
2025,8,45,17707374
2025,9,31,4233143
2025,10,35,1488573
2025,11,36,1585780
2025,12,42,764887
2026,1,36,842044
2026,2,43,7806527
2026,3,46,1573900
2026,4,30,725426
2026,5,1,551
